numero;cliente;fecha;total;fila_que_se_queda;estado_se_queda;fila_a_borrar;estado_a_borrar;pendiente_falso_que_desaparece;id_a_borrar
10138;"JOCA INGENIERIA Y CONSTRUCCIONES, S.A.";2010-05-31;11236,88;9-10138;pendiente;1-10138;pendiente;11236,88;d03d1769-30a8-4c7f-ac96-991a3c89f5eb
4100;"ABIJEIM SOCIETY, S.L";2018-05-31;7879,70;2-4100;cobrada;7-4100;pendiente;7879,70;44357597-1710-4548-a699-275e40fae17a
4196;"ABIJEIM SOCIETY, S.L";2018-06-30;7682,33;2-4196;cobrada;7-4196;pendiente;7682,33;37551208-15d6-4bbd-83cc-9322f75d0e43
4336;"OHARA CANARY, S.L";2018-08-30;4736,82;2-4336;pendiente;7-4336;pendiente;4736,82;dbc9464a-b7e8-4d8c-8161-5888ec0a0420
4040;"ABIJEIM SOCIETY, S.L";2018-04-30;4548,48;2-4040;cobrada;7-4040;pendiente;4548,48;a8ae7947-4496-4359-a661-01d6adaa7e3c
4310;"OHARA CANARY, S.L";2018-07-31;4449,77;2-4310;pendiente;7-4310;pendiente;4449,77;94697178-2ebd-422b-bdb7-1321ee07f7db
3908;"DE LA BELLA DE LEPE, S.L.U";2018-03-31;4271,64;2-3908;pendiente;7-3908;pendiente;4271,64;0e2edafa-ce33-4508-8b84-34812ebeed19
4298;"OHARA CANARY, S.L";2018-07-31;3604,45;2-4298;pendiente;7-4298;pendiente;3604,45;386bf8d8-fcf4-4824-89cb-aa988d430288
4299;"OHARA CANARY, S.L";2018-07-31;3013,78;2-4299;pendiente;7-4299;pendiente;3013,78;f784dea5-5a1d-4d88-9151-de6652d8f3ce
4004;"DE LA BELLA DE LEPE, S.L.U";2018-04-30;2708,71;2-4004;pendiente;7-4004;pendiente;2708,71;c034b932-81b3-46e5-b41e-a3daadfdf781
4344;"OHARA CANARY, S.L";2018-08-31;1906,33;2-4344;pendiente;7-4344;pendiente;1906,33;4012a985-99d9-4da9-9760-012c3f925333
4104;"DE LA BELLA DE LEPE, S.L.U";2018-05-31;1843,70;2-4104;pendiente;7-4104;pendiente;1843,70;a685f744-1a22-4785-9622-aecbbcf9bab5
4543;"HURIANAMAN, S.L";2018-10-31;927,00;2-4543;pendiente;7-4543;pendiente;927,00;4ec6fce7-72e2-4a7a-a1a7-a2919fe30c27
4297;"HURIANAMAN, S.L";2018-07-31;772,50;2-4297;pendiente;7-4297;pendiente;772,50;733d0a8b-8173-4ff8-8a35-1dad99611b30
190127;"GRUPO LIKA XXI, S.L";2019-02-28;618,00;2-190127;pendiente;7-190127;pendiente;618,00;399d5107-7b86-487f-94ea-c4ad6642ff4c
4364;"HURIANAMAN, S.L";2018-08-31;463,50;2-4364;pendiente;7-4364;pendiente;463,50;b5cc7ed4-873b-4fc2-a09f-8d4c6f4b9e48
4303;"OHARA CANARY, S.L";2018-07-31;388,18;2-4303;pendiente;7-4303;pendiente;388,18;cd791a19-42ec-4c05-b07e-2cbe292170d2
4341;"OHARA CANARY, S.L";2018-08-31;266,85;2-4341;pendiente;7-4341;pendiente;266,85;05a36b90-3a08-4dea-82eb-000ba707d763
4313;"OHARA CANARY, S.L";2018-07-31;222,45;2-4313;pendiente;7-4313;pendiente;222,45;4811ef07-c030-42ec-9d62-9dbd18a8f83e
4333;"ABIJEIM SOCIETY, S.L";2018-08-27;146,39;2-4333;pendiente;7-4333;pendiente;146,39;4c65adda-1ae5-40a5-8b79-efb18b1ea4cf
4342;"OHARA CANARY, S.L";2018-08-31;144,20;2-4342;pendiente;7-4342;pendiente;144,20;b2322774-4ee1-44fd-a282-226b6f3318dc
4174;"DE LA BELLA DE LEPE, S.L.U";2018-06-30;133,90;2-4174;pendiente;7-4174;pendiente;133,90;ea1f674c-9b83-4524-8e46-3c9f48e56147
4301;"OHARA CANARY, S.L";2018-07-31;115,36;2-4301;pendiente;7-4301;pendiente;115,36;e0bc3bea-8577-4ec0-8ec5-811f5970c657
4300;"OHARA CANARY, S.L";2018-07-31;115,36;2-4300;pendiente;7-4300;pendiente;115,36;badca57d-41d8-425c-81c8-5b905f517811
4343;"OHARA CANARY, S.L";2018-08-31;72,10;2-4343;pendiente;7-4343;pendiente;72,10;7ee63668-0a7d-4ce6-871b-88d91fcb6341
4302;"OHARA CANARY, S.L";2018-07-31;37,08;2-4302;pendiente;7-4302;pendiente;37,08;c85db60f-2f93-44b1-a39f-3dd32ee9b16e
200762;"SERVICIOS Y OBRAS ALUZ, S.L";2020-12-31;4672,48;2-200762;cobrada;1-200762;cobrada;0,00;ee3db16f-73b5-4072-b4d7-a5ff3fca3c22
200765;"CIERRES METALICOS CANARIAS SL";2020-12-31;764,68;2-200765;cobrada;1-200765;cobrada;0,00;afb5f44c-bded-44da-9e25-01a8925034a1
210548;"CANARIAS TURISTICAS 2000 S.L (ROYAL PALM Y MONTE DEL MAR)";2021-08-31;618,00;2-210548;cobrada;1-210548;cobrada;0,00;0aea3bb9-e839-4f0b-ad07-e44abca630cd
210279;"CANARAGUA CONCESIONES, S.A.U";2021-05-05;296,94;2-210279;cobrada;1-210279;cobrada;0,00;01940948-2e16-48c9-9582-0a88d3f5ecc9
200746;"CANARAGUA CONCESIONES, S.A.U";2020-12-31;146,46;2-200746;cobrada;1-200746;cobrada;0,00;a62b4dc2-e872-4e66-805d-bf9b8dab3d73
200761;"CDAD. PROP. BUNGALOW RIO SOL SECTOR III";2020-12-31;99,02;2-200761;cobrada;1-200761;cobrada;0,00;53ea5234-dd45-458b-99fd-8cdd423b40b8
